Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
India,IND,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,26.004921087417,27.3004252798172,25.5570369274154,29.8330069498647,32.9305784664664,37.3456526628387,40.8673498831382,..,..,..
United Kingdom,GBR,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,34.5557478411354,34.7365365559074,35.7701795370265,35.5772397697313,35.2667984485228,34.7627034580988,34.7153187575953,34.8739641297891,33.0781955584664,..
United States,USA,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,2.99887887333399,2.84138617511358,2.97943424979978,2.93956045062345,2.83531440396238,2.44577826867779,3.06833739821359,2.5964755571886,2.41651861793814,..
United Arab Emirates,ARE,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,8.16658357488143,8.26317834891675,8.26964020149239,0.982608882931981,0.655504570607074,1.31561237984335,1.26310320502228,17.4888169435067,9.430198451831,..
China,CHN,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,61.3276392597704,57.9789535041869,38.423746049332,35.3105074609305,34.7463159041114,32.8767194814443,32.6384180929019,31.9286301031841,34.3934932822414,..
Russian Federation,RUS,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,20.9180424497271,21.0870664426205,21.6434898366268,19.4171234275606,21.4435544578741,22.2648615952779,21.7142512406492,22.1566917675241,23.6564347399923,..
Australia,AUS,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,22.1836812898281,23.0282830965343,23.4914207363174,21.3264980942129,21.6636622666744,21.117562014567,20.4718531308127,19.4633874107218,19.3342259006816,..
France,FRA,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,22.090665395204,21.8724991630665,21.9852796900636,22.2768402781344,22.4609862703341,22.69290359238,22.9007940073761,23.4596173218224,23.206382483112,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 03/01/2023,,,,,,,,,,,,,
